ACTION,GOTO
ClosureId,!,!=,&&,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,UFLOAT,UINT,^,do,double,id,if,int,printf,scanf,then,while,{,||,},#,ANDITEM,ASSIGN,B,BANDTERM,BFACTOR,BORTERM,EXPR,FACTOR,ID,ITEM,L,M,MUL_DIV,N,NOITEM,ORITEM,PLUS_MINUS,PRINTF,PRINTF_BEGIN,PROG,REL,RELITEM,SCANF,SCANF_BEGIN,STATEMENT,SUBPROG,T,VARIABLE,VARIABLES
0,,,,,,,,,,,,,,,,,,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,
1,,,,,,,,,,,,,,,,,,,,,,s7,,,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,r2,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,s10,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,s11,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,s21,,s7,s22,s23,s8,s24,s25,,s26,s27,,,,,13,,,,,,,14,,,,,,,,,15,16,,,,17,18,19,,4,20,
7,,,,,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,r9,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,s10,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,r5,,r5,r5,r5,r5,r5,r5,,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,s30,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,s32,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,s11,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,s35,,,s36,,,,,,,,,,,,,,s42,s43,,,,s44,,,,,,,,,,,,,37,38,39,40,,,41,,,,,,,,,,,,,,,,,,,,
24,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,s57,,,s22,s58,,s24,s25,,s59,s60,,,,,49,,,,,,,50,,51,,,,,,,52,53,,,,54,55,56,,,,
28,,,,,,,,r10,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,s61,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,65,,,,,,66,67,68,69,,,,,70,71,72,,,,,73,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,r4,,r4,r4,r4,r4,r4,r4,,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,s35,,,s36,,,,,,,,,,,,,,s42,s43,,,,s44,,,,,,,,,,,,,,80,39,,,,41,,,,,,,,,,,,,,,,,,,,
36,s81,,,s82,,,,,,,,,,,,,,s88,s89,,,,s90,,,,,,,,,,,,,83,84,85,86,,,87,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,s91,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,r41,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,s93,r45,,,,,,,,,s94,s95,,s96,s97,s98,,,,,,,,,,,r45,,,r45,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,
40,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,r39,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,r48,r48,,,,,,,,,r48,r48,,r48,r48,r48,,,,,,,,,,,r48,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,r47,r47,,,,,,,,,r47,r47,,r47,r47,r47,,,,,,,,,,,r47,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,r46,r46,,,,,,,,,r46,r46,,r46,r46,r46,,,,,,,,,,,r46,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,r8,r8,,,,,,,,,r8,r8,,r8,r8,r8,,,,,,,,,,,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,
47,s103,,,s104,,,,,,,,,,,,,,s110,s111,,,,s112,,,,,,,,,,,,,105,106,107,108,,,109,,,,,,,,,,,,,,,,,,,,
48,r3,,,r3,,,,,,,,,,,,,,r3,r3,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,s114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,s115,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,s116,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,s35,,,s36,,,,,,,,,,,,,,s42,s43,,,,s44,,,,,,,,,,,,,117,38,39,40,,,41,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,s57,,,s22,s58,,s24,s25,,s59,s60,,,,,49,,,,,,,50,,119,,,,,,,52,53,,,,54,55,56,,,,
61,,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,,,,,,,,67,68,69,,,,,120,,72,,,,,73,,,,,,,
62,s121,,,s122,,,s63,,s64,,,,,,,,,s132,s133,,,,s134,,,,,,,,,,,123,,,,,,124,125,126,127,,,,,128,129,130,,,,,131,,,,,,,
63,,,,r49,,,r49,,r49,,,,,,,,,r49,r49,,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,r50,,,r50,,r50,,,,,,,,,r50,r50,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,r24,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s135,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r31,r31,,,r31,r31,,r31,r31,,r31,r31,,r31,r31,r31,,,,,,,,,,,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,r33,r33,,,r33,r33,,r33,r33,,r33,r33,,r33,r33,r33,,,,,,,,,,,,,,r33,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,r30,r30,,,s136,r30,,r30,s137,,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,r30,,r30,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,
70,,s139,r25,,,,,,,,,s140,s141,,s142,s143,s144,,,,,,,,,,,,,,r25,,r25,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,
71,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,,,,r22,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,s62,,,s63,,s64,,,,,,,,,s74,s75,,,,s76,,,,,,,,,,,,,,,,,,147,68,,,,,,,,72,,,,,,,,,,,,
73,,r28,r28,,,,s63,,s64,,,r28,r28,,r28,r28,r28,,,,,,,,,,,,,,r28,,r28,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,
74,,r35,r35,,,r35,r35,,r35,r35,,r35,r35,,r35,r35,r35,,,,,,,,,,,,,,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,r34,r34,,,r34,r34,,r34,r34,,r34,r34,,r34,r34,r34,,,,,,,,,,,,,,r34,,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,r8,r8,,,r8,r8,,r8,r8,,r8,r8,,r8,r8,r8,,,,,,,,,,,,,,r8,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,r64,,,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,r8,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,r60,,,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,r43,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,s81,,,s82,,,,,,,,,,,,,,s88,s89,,,,s90,,,,,,,,,,,,,,149,85,,,,87,,,,,,,,,,,,,,,,,,,,
82,s81,,,s82,,,,,,,,,,,,,,s88,s89,,,,s90,,,,,,,,,,,,,150,84,85,86,,,87,,,,,,,,,,,,,,,,,,,,
83,,,,,s151,,,,,,,,,,,,,,,,,,,,,,,,,,s152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,r41,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,s93,r45,,r45,,,,,,,s94,s95,,s96,s97,s98,,,,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,
86,,,s154,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,r48,r48,,r48,,,,,,,r48,r48,,r48,r48,r48,,,,,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
